DIRECTORIO,SECUENCIA_P,SECUENCIA_ENCUESTA,P3050,P3051,P639,P3052,CLASE_TE,COD_DEPTO,AREA,F_EXP
7627757,1,3,1,1,4,1,1,13,13,37.4507260611835
7627761,1,1,1,1,3,1,1,13,13,46.276720075585
7627764,1,1,1,2,5,1,1,13,13,23.9579202873365
7627767,1,3,1,2,4,1,1,13,13,21.2573047366679
7627772,1,2,1,2,5,1,1,13,13,18.1277821223835
7627775,1,1,1,2,5,1,1,13,13,32.4894510585248
7627775,1,2,1,5,3,1,1,13,13,32.4894510585248
7627777,1,4,1,2,2,2,1,13,13,27.4500364999733
7627778,1,1,1,2,4,6,1,13,13,30.3358884916372
7627778,1,2,1,2,5,6,1,13,13,30.3358884916372
7627779,1,1,1,1,4,1,1,13,13,32.4894510585248
7627783,1,3,1,2,4,1,1,13,13,16.3723121833509
7627784,1,1,1,2,4,1,1,13,13,25.4463390503067
7627784,1,2,1,5,3,1,1,13,13,25.4463390503067
7627785,1,1,1,1,2,1,1,13,13,22.5382480859008
7627790,1,1,1,2,1,1,1,13,13,38.2327727008115
7627790,1,2,1,2,3,1,1,13,13,38.2327727008115
7627791,1,2,1,1,3,1,1,13,13,33.0398719964579
7627792,1,1,1,5,5,1,1,13,13,19.0255764626514
7627793,1,1,1,1,3,6,1,13,13,43.7490796605081
7627794,1,1,1,1,2,1,1,13,13,41.5726350944154
7627795,1,1,1,2,5,1,1,13,13,38.8880708093406
7627796,1,1,1,1,4,6,1,13,13,38.8880708093406
7627797,1,1,2,2,3,3,1,13,13,44.1934785661336
7627798,1,1,1,1,3,1,1,13,13,33.0398719964579
7627800,1,1,1,3,5,6,1,13,13,21.844554011532
7627809,1,3,1,3,2,1,1,15,15,7.04347951229001
7627814,1,1,2,1,2,3,1,15,15,5.00254894434284
7627815,1,2,2,1,5,1,1,15,15,7.42547793038994
7627844,1,1,1,2,5,1,1,15,15,8.6913502328367
7627846,1,1,2,2,5,1,1,15,15,10.2350721242113
7627851,1,2,1,4,5,1,1,15,15,8.29906356925934
7627854,1,1,1,5,5,2,1,15,15,9.03126583135088
7627865,1,1,3,1,2,1,1,15,15,5.01649733315715
7627868,1,1,1,4,5,1,1,15,15,6.0791536771104
7627877,1,2,1,2,3,2,1,15,15,4.63178959716824
7627889,1,2,1,2,4,1,1,17,17,17.9317627465909
7627891,1,2,1,2,3,1,1,17,17,19.3653753916633
7627892,1,3,1,2,5,1,1,17,17,17.1223092015391
7627902,1,1,1,2,4,1,1,17,17,24.486516519977
7627903,1,1,1,2,5,1,1,17,17,18.708468841921
7627906,1,1,1,5,5,1,1,17,17,13.2296754781828
7627912,1,2,3,2,1,1,1,17,17,21.5144246726028
7627915,1,1,1,2,5,1,1,17,17,14.7334729483752
7627920,1,3,1,2,2,1,1,17,17,23.6258597334901
7627932,1,2,1,1,2,2,1,17,17,14.8438317998963
7627933,1,1,1,2,5,1,1,17,17,12.1308137636277
7627934,1,2,1,3,5,1,1,17,17,11.872207688804
7627944,1,1,1,5,5,1,1,17,17,16.8382547981431
7627949,1,3,1,1,4,1,1,17,17,13.9574004173583
7627951,1,2,1,1,2,8,1,17,17,16.9177452450178
7627951,1,3,1,1,2,8,1,17,17,16.9177452450178
7627956,1,1,1,2,5,1,1,17,17,12.6839825735086
7627961,1,1,1,2,5,1,1,17,17,16.9401608920605
7627963,1,5,1,1,5,1,1,17,17,26.7170872440088
7627997,1,2,1,2,1,1,1,17,17,16.1476226548611
7628001,1,1,1,2,3,1,1,17,17,9.09786181980874
7628015,1,2,1,2,5,1,1,17,17,8.84860437728367
7628018,1,1,1,1,5,1,1,17,17,20.3890202892541
7628020,1,1,1,7,4,1,1,17,17,24.8965735470795
7628023,1,2,3,2,2,1,1,17,17,22.6316705887522
7628028,1,1,1,1,5,1,1,17,17,8.11563793732461
7628032,1,2,1,2,5,1,1,17,17,9.44841073931637
